,time,price,change,volume,amount,type
0,15:00:00,8.72,--,0,0,卖盘
1,15:00:00,8.72,--,59,51448,卖盘
2,14:59:59,8.72,-0.01,31,27032,卖盘
3,14:59:54,8.73,0.01,28,24444,买盘
4,14:59:50,8.72,-0.01,88,76736,卖盘
5,14:59:45,8.73,0.01,57,49761,买盘
6,14:59:39,8.72,--,35,30520,买盘
7,14:59:35,8.72,0.01,235,204920,买盘
8,14:59:30,8.71,-0.01,59,51389,卖盘
9,14:59:24,8.72,0.01,38,33136,买盘
10,14:59:20,8.71,-0.01,108,94068,卖盘
11,14:59:14,8.72,--,91,79352,买盘
12,14:59:09,8.72,--,62,54064,买盘
13,14:59:05,8.72,--,139,121208,买盘
14,14:58:59,8.72,--,122,106384,卖盘
15,14:58:54,8.72,--,393,342696,买盘
16,14:58:49,8.72,0.01,86,74992,买盘
17,14:58:45,8.71,-0.01,171,148941,卖盘
18,14:58:39,8.72,--,24,20928,买盘
19,14:58:34,8.72,--,123,107256,买盘
20,14:58:29,8.72,--,90,78480,买盘
21,14:58:24,8.72,0.01,45,39240,买盘
22,14:58:19,8.71,-0.01,164,142844,卖盘
23,14:58:14,8.72,0.01,79,68888,买盘
24,14:58:09,8.71,--,9,7839,买盘
25,14:58:04,8.71,--,96,83616,卖盘
26,14:57:59,8.71,--,57,49647,买盘
27,14:57:54,8.71,--,10,8710,买盘
28,14:57:49,8.71,--,299,260429,买盘
29,14:57:44,8.71,--,343,298753,买盘
30,14:57:39,8.71,0.01,10,8710,买盘
31,14:57:34,8.7,-0.01,72,62639,卖盘
32,14:57:29,8.71,0.01,115,100165,买盘
33,14:57:24,8.7,--,55,47849,卖盘
34,14:57:19,8.7,--,73,63509,卖盘
35,14:57:14,8.7,--,174,151380,买盘
36,14:57:09,8.7,--,5,4350,买盘
37,14:57:04,8.7,0.01,15,13049,买盘
38,14:56:59,8.69,-0.01,93,80817,卖盘
39,14:56:54,8.7,0.01,595,517649,买盘
40,14:56:49,8.69,-0.01,127,110363,卖盘
