,time,price,change,volume,amount,type
0,15:00:03,3.48,--,3311,1152228,买盘
1,14:57:00,3.48,--,257,89436,买盘
2,14:56:57,3.48,--,10,3480,买盘
3,14:56:54,3.48,0.01,30,10440,买盘
4,14:56:51,3.47,-0.01,63,21861,卖盘
5,14:56:48,3.48,--,100,34800,买盘
6,14:56:45,3.48,0.01,10,3480,买盘
7,14:56:42,3.47,-0.01,20,6940,卖盘
8,14:56:39,3.48,--,16,5568,买盘
9,14:56:33,3.48,--,222,77256,买盘
10,14:56:30,3.48,--,18,6264,买盘
11,14:56:27,3.48,--,50,17400,买盘
12,14:56:24,3.48,0.01,60,20880,买盘
13,14:56:21,3.47,--,13,4511,卖盘
14,14:56:18,3.47,-0.01,100,34700,卖盘
15,14:56:15,3.48,--,5,1740,买盘
16,14:56:12,3.48,0.01,204,70992,买盘
17,14:56:09,3.47,-0.01,15,5205,卖盘
18,14:56:06,3.48,--,350,121800,买盘
19,14:56:03,3.48,0.01,127,44196,买盘
20,14:56:00,3.47,-0.01,20,6940,卖盘
21,14:55:51,3.48,--,30,10440,买盘
22,14:55:48,3.48,--,33,11484,买盘
23,14:55:45,3.48,0.01,4,1392,买盘
24,14:55:42,3.47,-0.01,280,97160,卖盘
25,14:55:39,3.48,--,69,24012,买盘
26,14:55:36,3.48,--,16,5568,买盘
27,14:55:33,3.48,0.01,12,4176,买盘
28,14:55:30,3.47,-0.01,5,1735,卖盘
29,14:55:27,3.48,0.01,3,1044,买盘
30,14:55:24,3.47,-0.01,6,2082,卖盘
31,14:55:21,3.48,0.01,300,104400,买盘
32,14:55:18,3.47,--,124,43028,卖盘
33,14:55:15,3.47,--,130,45110,卖盘
34,14:55:06,3.47,--,250,86750,卖盘
35,14:55:03,3.47,--,100,34700,卖盘
36,14:55:00,3.47,0.01,347,120409,买盘
37,14:54:48,3.46,--,50,17300,卖盘
38,14:54:42,3.46,-0.01,2000,692000,卖盘
39,14:54:39,3.47,--,2839,985133,买盘
40,14:54:33,3.47,--,1012,351164,买盘
41,14:54:30,3.47,--,1,347,买盘
42,14:54:27,3.47,0.01,300,104100,买盘
43,14:54:24,3.46,-0.01,100,34600,卖盘
44,14:54:21,3.47,--,200,69400,买盘
45,14:54:18,3.47,--,130,45110,买盘
46,14:54:15,3.47,--,4,1388,买盘
47,14:54:12,3.47,0.01,16,5552,买盘
48,14:54:09,3.46,-0.01,1,346,卖盘
49,14:54:06,3.47,--,10,3470,买盘
50,14:54:03,3.47,--,50,17350,买盘
51,14:53:48,3.47,--,1,347,买盘
52,14:53:42,3.47,--,40,13880,买盘
53,14:53:39,3.47,--,100,34700,买盘
54,14:53:36,3.47,--,108,37476,买盘
55,14:53:24,3.47,--,2,694,买盘
56,14:53:09,3.47,--,35,12145,买盘
57,14:53:06,3.47,0.01,1072,371984,买盘
58,14:53:03,3.46,--,4,1384,买盘
59,14:52:54,3.46,0.01,203,70238,买盘
60,14:52:39,3.45,-0.01,20,6900,卖盘
61,14:52:36,3.46,0.01,310,107260,买盘
62,14:52:30,3.45,-0.01,660,227700,卖盘
63,14:52:18,3.46,0.01,99,34254,买盘
64,14:52:15,3.45,--,25,8625,卖盘
65,14:52:00,3.45,--,108,37260,卖盘
66,14:51:54,3.45,-0.01,10,3450,卖盘
67,14:51:39,3.46,0.01,214,74044,买盘
68,14:51:33,3.45,-0.01,80,27600,卖盘
69,14:51:30,3.46,--,16,5536,买盘
70,14:51:24,3.46,0.01,10,3460,买盘
71,14:51:18,3.45,-0.01,3,1035,卖盘
72,14:51:12,3.46,--,20,6920,买盘
73,14:51:09,3.46,0.01,11,3806,买盘
74,14:51:00,3.45,--,10,3450,卖盘
75,14:50:42,3.45,-0.01,340,117300,卖盘
76,14:50:36,3.46,--,200,69200,买盘
77,14:50:27,3.46,--,249,86154,买盘
78,14:50:12,3.46,--,19,6574,买盘
79,14:50:09,3.46,0.01,10,3460,买盘
80,14:50:06,3.45,--,21,7245,卖盘
81,14:49:48,3.45,-0.01,5,1725,卖盘
82,14:49:42,3.46,0.01,10,3460,买盘
83,14:49:36,3.45,--,4,1380,卖盘
84,14:49:33,3.45,-0.01,15,5175,卖盘
85,14:49:30,3.46,--,72,24912,买盘
86,14:49:27,3.46,--,10,3460,买盘
87,14:49:24,3.46,--,22,7612,买盘
88,14:49:18,3.46,--,398,137708,卖盘
89,14:49:12,3.46,--,1186,410356,卖盘
90,14:49:09,3.46,--,28,9688,卖盘
91,14:49:03,3.46,--,10,3460,卖盘
92,14:48:54,3.46,--,100,34600,卖盘
93,14:48:51,3.46,--,10,3460,卖盘
94,14:48:48,3.46,--,20,6920,卖盘
95,14:48:42,3.46,--,40,13840,卖盘
96,14:48:39,3.46,--,4,1384,卖盘
97,14:48:36,3.46,--,63,21798,卖盘
98,14:48:30,3.46,-0.01,100,34600,卖盘
99,14:48:18,3.47,0.01,629,218263,买盘
100,14:48:15,3.46,--,3,1038,卖盘
101,14:48:12,3.46,--,292,101032,卖盘
102,14:48:06,3.46,--,11,3806,卖盘
103,14:48:03,3.46,--,3,1038,卖盘
104,14:48:00,3.46,--,3,1038,卖盘
105,14:47:57,3.46,--,3,1038,卖盘
106,14:47:54,3.46,--,51,17646,卖盘
107,14:47:51,3.46,--,3818,1321028,买盘
108,14:47:42,3.46,--,20,6920,买盘
109,14:47:36,3.46,0.01,3,1038,买盘
110,14:47:33,3.45,-0.01,4,1380,卖盘
111,14:47:30,3.46,0.01,71,24566,买盘
112,14:47:27,3.45,-0.01,1,345,卖盘
113,14:47:21,3.46,0.01,8,2768,买盘
114,14:47:09,3.45,-0.01,10,3450,卖盘
115,14:47:03,3.46,--,11,3806,买盘
116,14:47:00,3.46,0.01,20,6920,买盘
117,14:46:57,3.45,--,10,3450,卖盘
118,14:46:51,3.45,-0.01,83,28635,卖盘
119,14:46:36,3.46,0.01,100,34600,买盘
120,14:46:30,3.45,-0.01,2,690,卖盘
121,14:46:27,3.46,--,71,24566,买盘
122,14:46:18,3.46,--,20,6920,买盘
123,14:46:00,3.46,--,78,26988,买盘
124,14:45:54,3.46,0.01,59,20414,买盘
125,14:45:45,3.45,-0.01,11,3795,卖盘
126,14:45:36,3.46,--,20,6920,买盘
127,14:45:18,3.46,--,50,17300,买盘
128,14:44:54,3.46,--,9,3114,买盘
129,14:44:51,3.46,--,3,1038,买盘
130,14:44:45,3.46,--,16,5536,买盘
131,14:44:39,3.46,--,15,5190,买盘
132,14:44:30,3.46,--,5,1730,买盘
133,14:44:21,3.46,--,15,5190,买盘
134,14:44:09,3.46,--,15,5190,买盘
135,14:44:03,3.46,0.01,15,5190,买盘
136,14:43:48,3.45,-0.01,68,23460,卖盘
137,14:43:42,3.46,--,15,5190,买盘
138,14:43:36,3.46,0.01,15,5190,买盘
139,14:43:33,3.45,-0.01,115,39675,卖盘
140,14:43:30,3.46,--,8,2768,买盘
141,14:43:24,3.46,--,35,12110,买盘
142,14:43:18,3.46,--,3,1038,买盘
143,14:43:06,3.46,--,17,5882,买盘
144,14:43:03,3.46,0.01,15,5190,买盘
145,14:43:00,3.45,-0.01,50,17250,卖盘
146,14:42:45,3.46,0.01,15,5190,买盘
147,14:42:36,3.45,-0.01,100,34500,卖盘
148,14:42:30,3.46,--,16,5536,买盘
149,14:42:24,3.46,0.01,15,5190,买盘
150,14:42:21,3.45,--,102,35190,卖盘
151,14:42:18,3.45,--,10,3450,卖盘
152,14:42:15,3.45,-0.01,2,690,卖盘
153,14:42:12,3.46,--,1,346,买盘
154,14:42:06,3.46,0.01,15,5190,买盘
155,14:41:57,3.45,-0.01,100,34500,卖盘
156,14:41:54,3.46,--,25,8650,买盘
157,14:41:48,3.46,0.01,101,34946,买盘
158,14:41:42,3.45,-0.01,3,1035,卖盘
159,14:41:36,3.46,--,90,31140,买盘
160,14:41:27,3.46,--,15,5190,买盘
161,14:41:21,3.46,0.01,110,38060,买盘
162,14:41:12,3.45,--,4,1380,卖盘
163,14:41:09,3.45,--,467,161115,买盘
164,14:41:06,3.45,--,216,74520,买盘
165,14:41:00,3.45,--,78,26910,买盘
166,14:40:54,3.45,--,777,268065,买盘
167,14:40:51,3.45,--,31,10695,买盘
168,14:40:48,3.45,--,15,5175,买盘
169,14:40:36,3.45,--,132,45540,买盘
170,14:40:33,3.45,--,20,6900,买盘
171,14:40:30,3.45,--,15,5175,买盘
172,14:40:15,3.45,--,16,5520,买盘
173,14:40:09,3.45,--,15,5175,买盘
174,14:40:06,3.45,--,25,8625,买盘
175,14:40:03,3.45,--,56,19320,买盘
176,14:39:51,3.45,--,15,5175,买盘
177,14:39:39,3.45,--,315,108675,买盘
178,14:39:33,3.45,--,15,5175,买盘
179,14:39:30,3.45,--,30,10350,买盘
180,14:39:27,3.45,--,20,6900,买盘
181,14:39:15,3.45,--,40,13800,买盘
182,14:39:12,3.45,--,35,12075,买盘
183,14:39:09,3.45,--,5,1725,买盘
184,14:39:06,3.45,--,43,14835,买盘
185,14:39:03,3.45,--,12,4140,买盘
186,14:38:54,3.45,0.01,26,8970,买盘
187,14:38:39,3.44,--,985,338908,买盘
188,14:38:36,3.44,0.01,518,178192,买盘
189,14:38:33,3.43,-0.01,45,15435,卖盘
190,14:38:18,3.44,--,120,41280,买盘
191,14:38:12,3.44,--,15,5160,买盘
192,14:37:57,3.44,0.01,15,5160,买盘
193,14:37:54,3.43,--,19,6517,卖盘
194,14:37:51,3.43,-0.01,20,6860,卖盘
195,14:37:33,3.44,--,25,8600,买盘
196,14:37:24,3.44,--,31,10664,买盘
197,14:37:15,3.44,--,15,5160,买盘
198,14:37:12,3.44,--,16,5504,买盘
199,14:37:09,3.44,--,8,2752,买盘
200,14:36:57,3.44,--,17,5848,买盘
201,14:36:54,3.44,--,65,22360,买盘
202,14:36:51,3.44,--,15,5160,买盘
203,14:36:42,3.44,--,8,2752,买盘
204,14:36:36,3.44,--,27,9288,买盘
205,14:36:30,3.44,--,11,3784,买盘
206,14:36:18,3.44,--,57,19608,买盘
207,14:36:15,3.44,--,48,16512,买盘
208,14:36:00,3.44,--,8,2752,买盘
209,14:35:57,3.44,--,15,5160,买盘
210,14:35:54,3.44,--,1,344,买盘
211,14:35:45,3.44,--,15,5160,买盘
212,14:35:39,3.44,0.01,15,5160,买盘
213,14:35:30,3.43,-0.01,2,686,卖盘
214,14:35:24,3.44,--,8,2752,买盘
215,14:35:21,3.44,--,82,28208,买盘
216,14:35:15,3.44,--,4,1376,买盘
217,14:35:12,3.44,--,15,5160,买盘
218,14:35:03,3.44,--,8,2752,买盘
219,14:35:00,3.44,0.01,15,5160,买盘
220,14:34:48,3.43,-0.01,2,686,卖盘
221,14:34:42,3.44,--,16,5504,买盘
222,14:34:39,3.44,--,15,5160,买盘
223,14:34:21,3.44,--,15,5160,买盘
224,14:34:15,3.44,--,14,4816,买盘
225,14:34:06,3.44,0.01,15,5160,买盘
226,14:33:54,3.43,--,97,33271,买盘
227,14:33:42,3.43,--,155,53165,买盘
228,14:33:39,3.43,--,15,5145,买盘
229,14:33:36,3.43,--,17,5831,买盘
230,14:33:33,3.43,--,15,5145,买盘
231,14:33:27,3.43,--,4,1372,卖盘
232,14:33:18,3.43,-0.01,200,68600,卖盘
233,14:33:15,3.44,--,15,5160,买盘
234,14:33:12,3.44,--,1,344,买盘
235,14:33:00,3.44,--,17,5848,买盘
236,14:32:57,3.44,--,15,5160,买盘
237,14:32:36,3.44,--,15,5160,买盘
238,14:32:33,3.44,--,20,6880,买盘
239,14:32:24,3.44,--,15,5160,买盘
240,14:32:18,3.44,0.01,15,5160,买盘
241,14:32:09,3.43,-0.01,32,10976,卖盘
242,14:32:00,3.44,0.01,15,5160,买盘
243,14:31:57,3.43,-0.01,9,3087,卖盘
244,14:31:51,3.44,0.01,15,5160,买盘
245,14:31:42,3.43,--,686,235298,买盘
246,14:31:39,3.43,--,15,5145,买盘
247,14:31:33,3.43,--,1,343,买盘
248,14:31:24,3.43,--,8,2744,买盘
249,14:31:21,3.43,--,15,5145,买盘
