,time,price,change,volume,amount,type
0,15:00:00,5.27,--,0,0,买盘
1,15:00:00,5.27,--,30,15809,买盘
2,14:59:59,5.27,--,10,5270,买盘
3,14:59:48,5.27,--,322,169694,买盘
4,14:59:44,5.27,--,793,417910,买盘
5,14:59:39,5.27,--,1,527,买盘
6,14:59:33,5.27,--,1,527,买盘
7,14:59:29,5.27,--,35,18445,买盘
8,14:59:24,5.27,--,5,2635,买盘
9,14:59:18,5.27,--,770,405789,买盘
10,14:59:14,5.27,--,499,262973,买盘
11,14:59:03,5.27,0.01,54,28457,买盘
12,14:58:59,5.26,--,39,20514,卖盘
13,14:58:48,5.26,--,19,9994,卖盘
14,14:58:44,5.26,--,7,3682,卖盘
15,14:58:39,5.26,--,300,158162,卖盘
16,14:58:33,5.26,--,5,2630,卖盘
17,14:58:24,5.26,--,20,10520,卖盘
18,14:58:18,5.26,-0.01,164,86264,卖盘
19,14:58:14,5.27,0.01,5,2635,买盘
20,14:58:09,5.26,--,27,14202,卖盘
21,14:57:59,5.26,--,1,526,卖盘
22,14:57:54,5.26,--,2,1052,卖盘
23,14:57:48,5.26,-0.01,123,64698,卖盘
24,14:57:38,5.27,0.01,1,527,买盘
25,14:57:29,5.26,-0.01,28,14728,卖盘
26,14:57:24,5.27,0.01,22,11593,买盘
27,14:57:18,5.26,-0.01,50,26300,卖盘
28,14:57:14,5.27,0.01,10,5270,买盘
29,14:57:09,5.26,-0.01,60,31560,卖盘
30,14:57:03,5.27,0.01,3,1580,买盘
31,14:56:58,5.26,-0.01,11,5786,卖盘
32,14:56:54,5.27,0.01,15,7904,买盘
33,14:56:43,5.26,--,70,36820,卖盘
34,14:56:38,5.26,-0.01,4,2104,卖盘
35,14:56:33,5.27,--,51,26876,买盘
36,14:56:18,5.27,0.01,184,96967,买盘
37,14:56:08,5.26,-0.01,32,16832,卖盘
38,14:56:03,5.27,0.01,1,527,买盘
39,14:55:58,5.26,--,237,124662,卖盘
40,14:55:53,5.26,-0.01,7,3682,卖盘
41,14:55:48,5.27,0.01,45,23714,买盘
42,14:55:43,5.26,-0.01,82,43132,卖盘
43,14:55:38,5.27,--,27,14228,买盘
44,14:55:33,5.27,0.01,466,245581,买盘
45,14:55:28,5.26,--,65,34190,卖盘
46,14:55:13,5.26,-0.01,190,99940,卖盘
47,14:55:08,5.27,--,5,2635,买盘
48,14:55:03,5.27,0.01,90,47429,买盘
49,14:54:58,5.26,--,132,69432,卖盘
50,14:54:53,5.26,--,500,263000,卖盘
51,14:54:48,5.26,--,319,167794,卖盘
52,14:54:43,5.26,-0.01,20,10520,卖盘
53,14:54:33,5.27,--,192,101183,买盘
54,14:54:28,5.27,0.01,26,13701,买盘
55,14:54:23,5.26,--,23,12098,卖盘
56,14:54:18,5.26,-0.01,30,15780,卖盘
57,14:54:08,5.27,--,1501,791026,买盘
58,14:54:03,5.27,0.01,403,212834,买盘
59,14:53:58,5.26,--,651,342426,卖盘
60,14:53:48,5.26,--,225,118350,卖盘
61,14:53:43,5.26,-0.01,246,129396,卖盘
62,14:53:38,5.27,-0.01,319,168113,卖盘
63,14:53:33,5.28,0.01,51,26928,买盘
64,14:53:28,5.27,--,1138,599873,卖盘
65,14:53:18,5.27,--,150,79050,卖盘
66,14:53:12,5.27,--,914,481677,卖盘
67,14:53:08,5.27,-0.01,79,41759,卖盘
68,14:53:03,5.28,0.01,247,130416,买盘
69,14:52:57,5.27,--,40,21080,卖盘
70,14:52:53,5.27,--,310,163370,卖盘
71,14:52:48,5.27,--,247,130168,卖盘
72,14:52:42,5.27,--,7,3688,卖盘
73,14:52:38,5.27,-0.01,420,221339,卖盘
74,14:52:33,5.28,0.01,27,14256,买盘
75,14:52:27,5.27,--,764,402627,卖盘
76,14:52:18,5.27,--,63,33201,卖盘
77,14:52:12,5.27,--,229,120682,卖盘
78,14:52:08,5.27,--,1529,805782,卖盘
79,14:52:03,5.27,--,115,60604,卖盘
80,14:51:57,5.27,--,300,158194,卖盘
81,14:51:48,5.27,--,1283,676141,卖盘
82,14:51:42,5.27,--,584,307768,卖盘
83,14:51:38,5.27,-0.01,105,55334,卖盘
84,14:51:33,5.28,0.01,37,19536,买盘
85,14:51:27,5.27,--,35,18445,卖盘
86,14:51:23,5.27,--,534,281444,卖盘
87,14:51:18,5.27,--,48,25295,卖盘
88,14:51:12,5.27,--,99,52172,卖盘
89,14:51:03,5.27,-0.01,135,71145,卖盘
90,14:50:57,5.28,0.01,144,76142,买盘
91,14:50:53,5.27,--,82,43303,卖盘
92,14:50:48,5.27,--,217,114358,卖盘
93,14:50:42,5.27,--,55,28984,卖盘
94,14:50:38,5.27,-0.01,130,68510,卖盘
95,14:50:33,5.28,0.01,40,21120,买盘
96,14:50:27,5.27,-0.01,125,65875,卖盘
97,14:50:23,5.28,0.01,2,1056,买盘
98,14:50:18,5.27,-0.01,307,161789,卖盘
99,14:50:12,5.28,0.01,35,18480,买盘
100,14:50:08,5.27,-0.01,20,10540,卖盘
101,14:50:03,5.28,--,2158,1139424,买盘
102,14:49:57,5.28,0.01,26,13728,买盘
103,14:49:53,5.27,--,11,5997,卖盘
104,14:49:48,5.27,-0.01,217,114358,卖盘
105,14:49:42,5.28,--,40,21120,买盘
106,14:49:37,5.28,--,6,3168,买盘
107,14:49:33,5.28,--,109,57552,买盘
108,14:49:27,5.28,0.01,25,13200,买盘
109,14:49:22,5.27,-0.01,1005,529635,卖盘
110,14:49:17,5.28,--,13,6864,买盘
111,14:49:12,5.28,0.01,29,15312,买盘
112,14:49:08,5.27,-0.01,7,3688,卖盘
113,14:49:02,5.28,--,53,27984,买盘
114,14:48:57,5.28,0.01,32,16896,买盘
115,14:48:52,5.27,--,10,5470,卖盘
116,14:48:47,5.27,-0.01,390,205529,卖盘
117,14:48:42,5.28,--,32,16896,买盘
118,14:48:37,5.28,--,451,238128,买盘
119,14:48:32,5.28,0.01,725,382800,买盘
120,14:48:27,5.27,--,39,20553,卖盘
121,14:48:22,5.27,-0.01,10,5270,卖盘
