,time,price,change,volume,amount,type
0,15:00:00,5.28,--,0,0,卖盘
1,15:00:00,5.28,--,0,0,卖盘
2,14:59:59,5.28,--,10477,5531856,卖盘
3,14:59:53,5.28,--,1926,1016928,卖盘
4,14:59:49,5.28,-0.01,284,149952,卖盘
5,14:59:44,5.29,0.01,1331,704099,买盘
6,14:59:38,5.28,--,2998,1582954,卖盘
7,14:59:34,5.28,--,242,127776,卖盘
8,14:59:29,5.28,--,901,475728,卖盘
9,14:59:23,5.28,--,408,215424,卖盘
10,14:59:19,5.28,--,293,154704,卖盘
11,14:59:14,5.28,--,937,494736,卖盘
12,14:59:08,5.28,--,199,105072,卖盘
13,14:59:04,5.28,--,504,266112,卖盘
14,14:58:59,5.28,-0.01,573,302544,卖盘
15,14:58:53,5.29,0.01,1615,854335,买盘
16,14:58:49,5.28,-0.01,50,26400,卖盘
17,14:58:44,5.29,--,556,294124,买盘
18,14:58:38,5.29,--,367,194143,买盘
19,14:58:34,5.29,0.01,35,18515,买盘
20,14:58:29,5.28,--,111,58608,卖盘
21,14:58:23,5.28,-0.01,446,235488,卖盘
22,14:58:19,5.29,--,136,71944,买盘
23,14:58:14,5.29,--,862,455998,买盘
24,14:58:08,5.29,--,246,130134,买盘
25,14:58:04,5.29,--,132,69828,买盘
26,14:57:59,5.29,--,1028,543812,买盘
27,14:57:53,5.29,--,95,50255,买盘
28,14:57:49,5.29,0.01,12,6348,买盘
29,14:57:43,5.28,--,11,5808,卖盘
30,14:57:38,5.28,--,574,303072,卖盘
31,14:57:34,5.28,--,132,69696,卖盘
32,14:57:28,5.28,--,60,31680,卖盘
33,14:57:23,5.28,--,75,39600,卖盘
34,14:57:13,5.28,-0.01,331,174768,卖盘
35,14:57:08,5.29,0.02,61,32269,买盘
36,14:57:04,5.27,-0.02,1734,913828,卖盘
37,14:56:58,5.29,--,194,102626,买盘
38,14:56:53,5.29,0.01,238,125902,买盘
39,14:56:49,5.28,-0.01,1536,811008,卖盘
40,14:56:43,5.29,--,46,24334,买盘
41,14:56:38,5.29,0.01,198,104742,买盘
42,14:56:33,5.28,-0.01,251,132528,卖盘
43,14:56:28,5.29,0.01,52,27508,买盘
44,14:56:23,5.28,--,141,74448,卖盘
45,14:56:17,5.28,-0.01,12855,6787450,卖盘
46,14:56:13,5.29,--,19,10051,买盘
47,14:56:08,5.29,--,1534,811538,卖盘
48,14:56:02,5.29,--,371,196259,卖盘
49,14:55:58,5.29,--,65,34385,卖盘
50,14:55:53,5.29,--,209,110561,卖盘
51,14:55:47,5.29,-0.01,94,49726,卖盘
52,14:55:43,5.3,0.01,11281,5978930,买盘
53,14:55:38,5.29,--,248,131192,卖盘
54,14:55:32,5.29,-0.01,275,145506,卖盘
55,14:55:28,5.3,0.01,463,245390,买盘
56,14:55:23,5.29,-0.01,262,138598,卖盘
57,14:55:17,5.3,0.02,9344,4952765,买盘
58,14:55:13,5.28,--,227,119856,卖盘
59,14:55:08,5.28,--,211,111408,卖盘
60,14:55:02,5.28,--,273,144144,卖盘
61,14:54:58,5.28,--,190,100320,卖盘
62,14:54:53,5.28,--,11439,6039792,买盘
63,14:54:47,5.28,--,50,26400,买盘
64,14:54:43,5.28,-0.01,1,528,买盘
65,14:54:38,5.29,0.01,230,122045,买盘
66,14:54:32,5.28,--,32,16896,卖盘
67,14:54:28,5.28,0.01,11225,5926800,买盘
68,14:54:23,5.27,--,178,94185,卖盘
69,14:54:17,5.27,--,147,77469,卖盘
70,14:54:13,5.27,--,968,510135,卖盘
71,14:54:08,5.27,--,158,83266,卖盘
72,14:54:02,5.27,--,136,72046,卖盘
73,14:53:58,5.27,-0.01,60,31619,卖盘
74,14:53:53,5.28,0.01,25,13200,买盘
75,14:53:47,5.27,--,74,39377,卖盘
76,14:53:43,5.27,--,116,61131,卖盘
77,14:53:38,5.27,-0.01,33,17391,卖盘
78,14:53:32,5.28,--,100,52800,买盘
79,14:53:23,5.28,--,264,139392,买盘
80,14:53:17,5.28,--,97,51590,买盘
81,14:53:13,5.28,--,22,11616,买盘
82,14:53:08,5.28,--,214,112992,买盘
83,14:53:02,5.28,--,299,157872,卖盘
84,14:52:58,5.28,--,110,58080,卖盘
85,14:52:53,5.28,--,252,133436,卖盘
86,14:52:47,5.28,--,475,250800,卖盘
87,14:52:43,5.28,--,50,26400,卖盘
88,14:52:38,5.28,-0.01,400,211200,卖盘
89,14:52:32,5.29,0.01,145,77080,买盘
90,14:52:28,5.28,--,147,77616,卖盘
91,14:52:23,5.28,-0.01,311,164208,卖盘
92,14:52:17,5.29,0.01,170,89930,买盘
93,14:52:13,5.28,--,202,107036,卖盘
94,14:52:08,5.28,--,329,173712,卖盘
95,14:52:02,5.28,--,1174,619872,卖盘
96,14:51:58,5.28,--,91,48048,卖盘
97,14:51:53,5.28,--,2012,1062710,卖盘
98,14:51:47,5.28,--,417,220176,卖盘
99,14:51:43,5.28,--,64,33792,卖盘
100,14:51:38,5.28,-0.01,139,73392,卖盘
101,14:51:32,5.29,--,93,49577,买盘
102,14:51:28,5.29,0.01,44,23276,买盘
103,14:51:23,5.28,-0.01,892,470976,卖盘
104,14:51:17,5.29,0.01,381,201924,买盘
105,14:51:12,5.28,--,172,90816,卖盘
106,14:51:08,5.28,--,288,152064,卖盘
107,14:51:02,5.28,-0.01,14,7766,卖盘
108,14:50:57,5.29,--,1733,916936,卖盘
109,14:50:53,5.29,--,1746,924004,卖盘
110,14:50:47,5.29,--,1233,652257,卖盘
111,14:50:43,5.29,--,1703,901019,卖盘
112,14:50:38,5.29,--,1173,620897,卖盘
113,14:50:32,5.29,--,1423,752767,卖盘
114,14:50:26,5.29,--,1101,582429,卖盘
115,14:50:22,5.29,--,480,253920,卖盘
116,14:50:17,5.29,--,489,259056,卖盘
117,14:50:12,5.29,--,281,148649,卖盘
118,14:50:07,5.29,--,374,197846,卖盘
119,14:50:02,5.29,--,917,485093,卖盘
120,14:49:56,5.29,--,1606,849574,卖盘
121,14:49:52,5.29,-0.01,799,423051,卖盘
122,14:49:47,5.3,0.01,1129,598370,买盘
123,14:49:41,5.29,--,682,360778,卖盘
124,14:49:37,5.29,-0.01,476,251804,卖盘
125,14:49:32,5.3,--,708,375648,买盘
126,14:49:26,5.3,--,5924,3139720,买盘
127,14:49:22,5.3,0.01,1425,755250,买盘
128,14:49:17,5.29,--,1467,776423,卖盘
129,14:49:11,5.29,--,339,179331,卖盘
130,14:49:07,5.29,--,4,2116,卖盘
131,14:49:02,5.29,-0.01,588,311052,卖盘
132,14:48:56,5.3,--,1406,745180,买盘
133,14:48:52,5.3,0.01,19,10070,买盘
134,14:48:47,5.29,-0.01,416,220439,卖盘
135,14:48:41,5.3,0.01,389,206170,买盘
136,14:48:37,5.29,--,798,422142,卖盘
137,14:48:32,5.29,-0.01,778,411562,卖盘
138,14:48:26,5.3,--,338,179140,买盘
139,14:48:22,5.3,0.01,930,492900,买盘
140,14:48:17,5.29,--,1410,746270,卖盘
141,14:48:11,5.29,--,296,156584,卖盘
142,14:48:07,5.29,--,20,10580,卖盘
143,14:48:02,5.29,--,3923,2075267,卖盘
144,14:47:56,5.29,--,353,187112,卖盘
145,14:47:52,5.29,--,3696,1955675,买盘
146,14:47:47,5.29,0.01,3927,2077684,买盘
147,14:47:41,5.28,-0.01,1666,880028,卖盘
148,14:47:37,5.29,0.01,628,332212,买盘
149,14:47:32,5.28,-0.01,262,138336,卖盘
150,14:47:26,5.29,--,13447,7113463,买盘
151,14:47:22,5.29,--,449,237521,买盘
152,14:47:17,5.29,0.01,228,120987,买盘
153,14:47:11,5.28,--,122,64416,卖盘
154,14:47:07,5.28,--,130,68640,卖盘
155,14:47:02,5.28,--,1251,660528,卖盘
156,14:46:56,5.28,0.01,1106,584348,买盘
157,14:46:52,5.27,-0.01,39,20553,卖盘
158,14:46:47,5.28,0.01,456,240768,买盘
159,14:46:41,5.27,-0.01,110,57969,卖盘
160,14:46:37,5.28,0.01,74,39072,买盘
161,14:46:32,5.27,--,11448,6033470,买盘
162,14:46:26,5.27,--,17,8959,买盘
163,14:46:22,5.27,0.01,213,112250,买盘
164,14:46:17,5.26,-0.01,112,59285,卖盘
165,14:46:11,5.27,-0.01,259,136493,中性盘
166,14:46:07,5.28,0.03,11210,5918880,买盘
167,14:46:02,5.25,-0.02,2901,1523403,卖盘
168,14:45:56,5.27,--,144,75888,买盘
169,14:45:52,5.27,--,20,10540,买盘
170,14:45:47,5.27,--,11483,6051540,买盘
171,14:45:41,5.27,0.01,16,8432,买盘
172,14:45:37,5.26,--,10,5260,卖盘
173,14:45:32,5.26,--,120,63493,卖盘
174,14:45:26,5.26,--,83,43658,卖盘
175,14:45:22,5.26,--,13,6838,卖盘
176,14:45:17,5.26,--,4,2482,卖盘
177,14:45:11,5.26,--,30,15780,卖盘
178,14:45:07,5.26,-0.01,30,15780,卖盘
179,14:45:02,5.27,0.01,99,52283,买盘
180,14:44:56,5.26,-0.01,300,157800,卖盘
181,14:44:51,5.27,0.01,466,245661,买盘
182,14:44:47,5.26,--,1067,561242,卖盘
183,14:44:41,5.26,-0.01,95,50348,卖盘
184,14:44:37,5.27,0.01,3,1580,买盘
185,14:44:31,5.26,--,43,22618,卖盘
186,14:44:26,5.26,-0.01,295,155170,卖盘
187,14:44:21,5.27,0.01,94,49537,买盘
188,14:44:16,5.26,--,21,11046,卖盘
189,14:44:11,5.26,--,224,118197,卖盘
190,14:44:01,5.26,-0.01,44,23144,卖盘
191,14:43:56,5.27,--,28,15135,买盘
192,14:43:46,5.27,--,116,61131,买盘
193,14:43:41,5.27,--,134,70618,买盘
194,14:43:35,5.27,-0.01,1243,655118,卖盘
195,14:43:31,5.28,0.01,305,161040,买盘
196,14:43:26,5.27,--,1559,821592,卖盘
197,14:43:20,5.27,-0.01,44,23187,卖盘
198,14:43:16,5.28,--,1598,844124,买盘
199,14:43:11,5.28,0.01,899,474672,买盘
200,14:43:05,5.27,--,74,38998,卖盘
201,14:43:01,5.27,-0.01,280,147934,卖盘
202,14:42:56,5.28,0.01,485,256080,买盘
203,14:42:50,5.27,--,778,410005,卖盘
204,14:42:46,5.27,--,340,179180,卖盘
205,14:42:41,5.27,--,123,65195,卖盘
206,14:42:35,5.27,--,170,89590,卖盘
207,14:42:31,5.27,-0.01,2261,1191547,卖盘
208,14:42:26,5.28,0.01,744,392832,买盘
209,14:42:20,5.27,-0.01,5085,2679795,卖盘
210,14:42:16,5.28,--,177,93836,买盘
211,14:42:11,5.28,0.01,867,457776,买盘
212,14:42:05,5.27,-0.01,70,36890,卖盘
213,14:42:01,5.28,--,46,24662,买盘
214,14:41:56,5.28,0.01,168,88704,买盘
215,14:41:50,5.27,-0.01,196,103291,卖盘
216,14:41:46,5.28,--,581,306768,买盘
217,14:41:41,5.28,0.01,5406,2854368,买盘
218,14:41:35,5.27,-0.01,3207,1690468,卖盘
219,14:41:31,5.28,--,202,106656,买盘
220,14:41:26,5.28,--,584,308352,买盘
221,14:41:20,5.28,0.01,179,94512,买盘
222,14:41:16,5.27,-0.01,5,3009,卖盘
223,14:41:11,5.28,--,357,188796,卖盘
224,14:41:05,5.28,--,2595,1370160,卖盘
225,14:41:01,5.28,--,147,77616,卖盘
226,14:40:56,5.28,--,385,203660,卖盘
227,14:40:50,5.28,--,165,87120,卖盘
228,14:40:46,5.28,--,11,5808,卖盘
229,14:40:40,5.28,--,657,346896,卖盘
230,14:40:35,5.28,--,1222,645590,卖盘
231,14:40:31,5.28,--,2102,1109856,卖盘
232,14:40:26,5.28,--,12511,6605808,买盘
233,14:40:20,5.28,0.01,596,314688,买盘
234,14:40:16,5.27,-0.01,683,360320,卖盘
235,14:40:11,5.28,0.01,1259,664752,买盘
236,14:40:05,5.27,--,792,417383,卖盘
237,14:40:01,5.27,-0.01,159,83793,卖盘
238,14:39:56,5.28,--,11430,6035414,买盘
239,14:39:50,5.28,--,383,202224,买盘
240,14:39:46,5.28,0.01,107,56496,买盘
241,14:39:41,5.27,-0.01,147,77469,卖盘
242,14:39:35,5.28,--,2825,1491980,买盘
243,14:39:31,5.28,0.01,241,127248,买盘
244,14:39:26,5.27,-0.01,284,149668,卖盘
245,14:39:20,5.28,0.01,700,369600,买盘
246,14:39:16,5.27,-0.01,121,63766,卖盘
247,14:39:11,5.28,--,500,264322,买盘
248,14:39:05,5.28,--,1712,903936,买盘
249,14:39:01,5.28,0.01,1855,979440,买盘
250,14:38:55,5.27,-0.01,982,517893,卖盘
251,14:38:50,5.28,--,467,246576,买盘
252,14:38:46,5.28,0.01,185,97680,买盘
253,14:38:41,5.27,--,659,347530,卖盘
254,14:38:35,5.27,0.01,6992,3685289,买盘
255,14:38:31,5.26,--,10,5260,买盘
256,14:38:26,5.26,--,198,104148,买盘
257,14:38:20,5.26,--,835,439210,买盘
258,14:38:15,5.26,0.01,151,79426,买盘
259,14:38:11,5.25,-0.01,6,3522,卖盘
260,14:38:05,5.26,--,11990,6306803,卖盘
261,14:38:00,5.26,--,592,311770,卖盘
262,14:37:55,5.26,-0.01,442,232497,卖盘
263,14:37:50,5.27,--,692,364683,买盘
264,14:37:45,5.27,--,40,21080,买盘
265,14:37:40,5.27,--,506,266662,买盘
266,14:37:35,5.27,--,86,45696,买盘
267,14:37:30,5.27,--,9021,4754067,买盘
268,14:37:25,5.27,--,958,505245,买盘
269,14:37:20,5.27,0.01,396,209071,买盘
270,14:37:16,5.26,--,392,206192,买盘
271,14:37:10,5.26,--,405,213030,买盘
272,14:37:05,5.26,--,394,207244,卖盘
273,14:37:00,5.26,-0.01,61,32086,中性盘
274,14:36:55,5.27,0.01,222,117141,买盘
275,14:36:50,5.26,--,113,59438,卖盘
276,14:36:45,5.26,-0.01,332,174632,卖盘
277,14:36:40,5.27,--,235,123844,买盘
278,14:36:35,5.27,0.02,11423,6020300,买盘
279,14:36:30,5.25,-0.01,6,3150,卖盘
280,14:36:25,5.26,--,172,90472,买盘
281,14:36:20,5.26,--,218,114668,买盘
282,14:36:14,5.26,--,20,10520,卖盘
283,14:36:10,5.26,--,11226,5904876,买盘
284,14:36:05,5.26,--,743,390818,买盘
285,14:35:59,5.26,--,540,284455,卖盘
286,14:35:55,5.26,--,591,310866,卖盘
287,14:35:50,5.26,0.01,10445,5494559,买盘
288,14:35:44,5.25,--,2090,1097250,卖盘
289,14:35:40,5.25,--,1458,765618,卖盘
290,14:35:35,5.25,--,178,93822,卖盘
291,14:35:29,5.25,--,11490,6032250,卖盘
292,14:35:25,5.25,--,30,15750,卖盘
293,14:35:20,5.25,--,381,200025,卖盘
294,14:35:14,5.25,--,201,105903,卖盘
295,14:35:10,5.25,--,300,157500,卖盘
296,14:35:05,5.25,0.01,5917,3106425,买盘
297,14:34:59,5.24,--,55,29192,卖盘
298,14:34:54,5.24,--,10,5240,卖盘
299,14:34:49,5.24,-0.01,222,116328,卖盘
300,14:34:44,5.25,0.01,225,118156,买盘
301,14:34:40,5.24,--,107,56068,卖盘
302,14:34:35,5.24,--,24,12953,卖盘
303,14:34:29,5.24,--,474,248376,卖盘
304,14:34:25,5.24,--,363,190212,卖盘
305,14:34:19,5.24,--,45,23580,卖盘
306,14:34:14,5.24,0.01,668,350404,买盘
307,14:34:10,5.23,--,89,46547,卖盘
308,14:34:04,5.23,--,5755,3009865,卖盘
309,14:33:59,5.23,--,24,12552,卖盘
310,14:33:55,5.23,-0.01,35,18676,卖盘
311,14:33:49,5.24,--,205,107828,卖盘
312,14:33:44,5.24,--,7201,3773324,卖盘
313,14:33:40,5.24,--,277,145525,卖盘
314,14:33:34,5.24,--,200,104800,卖盘
315,14:33:29,5.24,--,404,211696,卖盘
316,14:33:20,5.24,-0.01,257,135040,卖盘
317,14:33:14,5.25,--,5749,3018225,买盘
318,14:33:10,5.25,0.01,60,31500,买盘
319,14:33:05,5.24,-0.01,13021,6823349,卖盘
320,14:32:59,5.25,--,5966,3132150,卖盘
321,14:32:55,5.25,--,1963,1030575,卖盘
322,14:32:50,5.25,--,8584,4506978,卖盘
323,14:32:44,5.25,--,7489,3931725,卖盘
324,14:32:40,5.25,--,849,445725,卖盘
325,14:32:35,5.25,--,1047,550047,卖盘
326,14:32:29,5.25,--,4082,2143050,卖盘
327,14:32:25,5.25,--,4125,2165625,卖盘
328,14:32:19,5.25,--,155,81375,卖盘
329,14:32:14,5.25,--,298,156828,卖盘
330,14:32:09,5.25,--,205,107625,卖盘
331,14:32:04,5.25,--,284,149100,卖盘
332,14:31:59,5.25,--,1765,926997,卖盘
333,14:31:55,5.25,--,420,220500,卖盘
334,14:31:49,5.25,--,406,213150,卖盘
335,14:31:44,5.25,--,320,168000,卖盘
336,14:31:40,5.25,--,500,262500,卖盘
337,14:31:34,5.25,--,496,260778,卖盘
338,14:31:29,5.25,--,252,132300,卖盘
339,14:31:24,5.25,--,119,62475,卖盘
340,14:31:19,5.25,--,231,121647,卖盘
341,14:31:14,5.25,--,607,318675,卖盘
342,14:31:09,5.25,--,49,25725,卖盘
343,14:31:04,5.25,--,304,159600,卖盘
344,14:30:59,5.25,--,1804,947100,卖盘
345,14:30:54,5.25,--,637,334803,卖盘
346,14:30:49,5.25,--,173,90825,卖盘
347,14:30:44,5.25,--,241,126525,卖盘
348,14:30:39,5.25,--,100,52500,卖盘
349,14:30:34,5.25,--,343,180148,卖盘
350,14:30:29,5.25,--,330,173250,卖盘
351,14:30:24,5.25,--,223,117075,卖盘
352,14:30:19,5.25,--,424,222972,卖盘
353,14:30:14,5.25,--,114,59850,卖盘
354,14:30:09,5.25,--,43,22575,卖盘
355,14:30:04,5.25,--,165,86625,卖盘
356,14:29:59,5.25,--,1213,636825,卖盘
357,14:29:54,5.25,-0.01,308,162078,卖盘
358,14:29:49,5.26,0.01,1581,831606,买盘
359,14:29:44,5.25,--,253,132825,卖盘
360,14:29:38,5.25,--,846,444150,卖盘
361,14:29:34,5.25,--,425,223219,卖盘
362,14:29:29,5.25,--,50,26250,卖盘
363,14:29:23,5.25,--,14,7350,卖盘
364,14:29:19,5.25,--,106,55650,卖盘
365,14:29:13,5.25,--,213,112203,卖盘
366,14:29:08,5.25,-0.01,155,81375,卖盘
367,14:29:04,5.26,0.01,86,45236,买盘
368,14:28:58,5.25,--,732,384672,卖盘
369,14:28:53,5.25,--,10,5250,卖盘
370,14:28:48,5.25,--,150,78750,卖盘
371,14:28:43,5.25,--,144,75600,卖盘
372,14:28:38,5.25,-0.01,170,89250,卖盘
373,14:28:34,5.26,0.01,383,201836,买盘
374,14:28:28,5.25,-0.01,28,14700,卖盘
375,14:28:23,5.26,--,92,48392,买盘
376,14:28:19,5.26,0.01,55,29303,买盘
377,14:28:13,5.25,--,89,46725,卖盘
378,14:28:08,5.25,-0.01,6209,3259725,卖盘
379,14:28:03,5.26,0.01,1601,842126,买盘
380,14:27:58,5.25,--,148,78078,卖盘
381,14:27:53,5.25,-0.01,461,242025,卖盘
382,14:27:48,5.26,0.01,1,526,买盘
383,14:27:43,5.25,--,39,20475,卖盘
384,14:27:38,5.25,--,258,135822,卖盘
385,14:27:33,5.25,-0.01,98,51450,卖盘
386,14:27:28,5.26,--,32,16832,买盘
387,14:27:23,5.26,--,87,45762,买盘
388,14:27:14,5.26,--,175,92428,买盘
389,14:27:08,5.26,--,200,105200,买盘
390,14:27:03,5.26,0.01,80,42080,买盘
391,14:26:58,5.25,--,80,42000,卖盘
392,14:26:53,5.25,-0.01,49,26097,卖盘
393,14:26:48,5.26,0.01,542,285092,买盘
394,14:26:43,5.25,-0.01,1764,926100,卖盘
395,14:26:38,5.26,--,1521,800424,买盘
396,14:26:28,5.26,--,191,100466,买盘
397,14:26:23,5.26,0.01,418,219868,买盘
398,14:26:18,5.25,-0.01,126,66150,卖盘
399,14:26:13,5.26,--,104,55077,买盘
400,14:26:08,5.26,--,572,301066,卖盘
401,14:26:03,5.26,--,245,128870,卖盘
402,14:25:58,5.26,--,804,423277,卖盘
403,14:25:53,5.26,--,208,109891,买盘
404,14:25:48,5.26,--,388,204088,买盘
405,14:25:43,5.26,-0.01,1333,701200,卖盘
406,14:25:38,5.27,0.01,583,307725,买盘
407,14:25:33,5.26,-0.01,65,34190,卖盘
408,14:25:28,5.27,0.01,392,206583,买盘
409,14:25:23,5.26,--,731,384506,买盘
410,14:25:18,5.26,--,280,147280,卖盘
411,14:25:13,5.26,--,2607,1371655,买盘
412,14:25:08,5.26,--,639,336114,买盘
413,14:25:03,5.26,0.01,20,10520,买盘
414,14:24:58,5.25,-0.01,712,374178,卖盘
415,14:24:53,5.26,0.01,1310,689060,买盘
416,14:24:48,5.25,--,200,105000,卖盘
417,14:24:43,5.25,--,5136,2696400,卖盘
418,14:24:38,5.25,-0.01,2180,1144500,卖盘
419,14:24:33,5.26,0.01,310,163433,买盘
420,14:24:28,5.25,0.01,103,54075,买盘
421,14:24:23,5.24,--,786,412351,卖盘
422,14:24:18,5.24,--,137,72165,卖盘
423,14:24:13,5.24,--,34220,17931280,卖盘
424,14:24:08,5.24,--,422,221128,卖盘
425,14:24:03,5.24,-0.01,213,111612,卖盘
426,14:23:58,5.25,--,1058,555822,买盘
427,14:23:53,5.25,--,175,91875,买盘
428,14:23:48,5.25,--,255,133875,买盘
429,14:23:43,5.25,0.01,778,408450,买盘
430,14:23:38,5.24,--,323,169629,卖盘
431,14:23:33,5.24,--,100,52400,卖盘
432,14:23:28,5.24,--,510,267240,卖盘
433,14:23:23,5.24,--,230,120520,卖盘
434,14:23:18,5.24,0.01,11612,6085060,买盘
435,14:23:13,5.23,-0.01,1083,566409,卖盘
436,14:23:08,5.24,0.01,412,215888,买盘
437,14:23:03,5.23,--,136,71128,卖盘
438,14:22:58,5.23,-0.01,935,489334,卖盘
439,14:22:53,5.24,0.01,56,29344,买盘
440,14:22:47,5.23,--,389,203447,卖盘
441,14:22:43,5.23,--,318,166314,卖盘
442,14:22:38,5.23,--,364,190372,卖盘
443,14:22:33,5.23,--,109,57378,卖盘
444,14:22:28,5.23,--,65,33995,卖盘
445,14:22:22,5.23,--,160,83680,卖盘
446,14:22:17,5.23,--,1,523,卖盘
447,14:22:13,5.23,--,1039,543768,卖盘
448,14:22:07,5.23,--,9885,5170278,买盘
449,14:22:02,5.23,0.01,82,42886,买盘
450,14:21:58,5.22,--,295,154365,卖盘
451,14:21:52,5.22,-0.01,444,231992,卖盘
452,14:21:47,5.23,0.01,235,122905,买盘
453,14:21:43,5.22,--,1628,849816,卖盘
454,14:21:37,5.22,--,1015,529830,卖盘
455,14:21:32,5.22,--,730,381106,卖盘
456,14:21:27,5.22,-0.01,1240,647280,卖盘
457,14:21:22,5.23,0.01,180,94140,买盘
458,14:21:17,5.22,-0.01,4,2463,卖盘
459,14:21:12,5.23,0.01,33,17259,买盘
460,14:21:07,5.22,--,250,130500,卖盘
461,14:21:02,5.22,-0.01,495,258390,卖盘
462,14:20:57,5.23,0.01,16,8739,买盘
463,14:20:52,5.22,--,248,129456,卖盘
464,14:20:47,5.22,--,117,61074,卖盘
465,14:20:37,5.22,-0.01,404,211169,卖盘
466,14:20:32,5.23,0.01,164,85772,买盘
467,14:20:22,5.22,--,139,72558,卖盘
468,14:20:17,5.22,-0.01,491,256302,卖盘
469,14:20:12,5.23,--,38,20245,买盘
470,14:20:07,5.23,0.01,141,73743,买盘
471,14:20:02,5.22,--,734,383148,卖盘
472,14:19:57,5.22,-0.01,14,7683,卖盘
473,14:19:47,5.23,0.01,809,423107,买盘
474,14:19:37,5.22,-0.01,302,158014,卖盘
475,14:19:32,5.23,0.01,570,298350,买盘
476,14:19:22,5.22,--,126,65772,卖盘
477,14:19:17,5.22,--,146,76587,卖盘
478,14:19:12,5.22,--,124,64728,卖盘
479,14:19:07,5.22,--,145,75690,卖盘
480,14:19:02,5.22,--,70,36540,卖盘
481,14:18:57,5.22,-0.01,4,2458,卖盘
482,14:18:52,5.23,--,16,8368,买盘
483,14:18:47,5.23,0.01,79,41317,买盘
484,14:18:37,5.22,--,230,120435,卖盘
485,14:18:32,5.22,-0.01,45,23490,卖盘
486,14:18:27,5.23,--,142,74266,买盘
487,14:18:22,5.23,0.01,239,124997,买盘
488,14:18:17,5.22,--,4,2458,卖盘
489,14:18:07,5.22,-0.01,292,152424,卖盘
490,14:18:02,5.23,--,99,51777,买盘
491,14:17:57,5.23,--,1012,529276,买盘
492,14:17:47,5.23,--,204,106692,买盘
493,14:17:42,5.23,0.01,1384,723832,买盘
494,14:17:37,5.22,--,164,85608,卖盘
495,14:17:32,5.22,-0.01,51,26622,卖盘
496,14:17:17,5.23,--,24,12552,买盘
497,14:17:12,5.23,0.01,28,14644,买盘
498,14:17:07,5.22,--,126,65772,卖盘
499,14:17:02,5.22,-0.01,122,63684,卖盘
500,14:16:57,5.23,0.01,10,5230,买盘
501,14:16:52,5.22,-0.01,2409,1257498,卖盘
502,14:16:42,5.23,0.01,855,447165,买盘
503,14:16:37,5.22,--,140,73080,卖盘
504,14:16:32,5.22,-0.01,15,7830,卖盘
505,14:16:27,5.23,0.01,3,1569,买盘
506,14:16:22,5.22,-0.01,60,31320,卖盘
507,14:16:12,5.23,0.01,934,488482,买盘
508,14:16:07,5.22,--,126,65772,卖盘
509,14:16:01,5.22,--,287,149814,卖盘
510,14:15:57,5.22,--,126,65772,卖盘
511,14:15:52,5.22,--,35,18270,卖盘
512,14:15:46,5.22,--,124,64728,卖盘
513,14:15:42,5.22,--,40,20880,卖盘
514,14:15:37,5.22,--,1294,675468,卖盘
515,14:15:31,5.22,--,160,83520,卖盘
516,14:15:27,5.22,--,124,64728,卖盘
517,14:15:22,5.22,--,27,14094,卖盘
518,14:15:07,5.22,--,144,75168,卖盘
519,14:15:01,5.22,--,159,82998,卖盘
520,14:14:52,5.22,--,9,4698,卖盘
521,14:14:46,5.22,-0.01,20,10440,卖盘
522,14:14:41,5.23,0.01,24,12552,买盘
523,14:14:37,5.22,--,135,70470,卖盘
524,14:14:26,5.22,--,44,22968,卖盘
525,14:14:22,5.22,--,153,79866,卖盘
526,14:14:11,5.22,--,9249,4828327,买盘
527,14:14:07,5.22,--,146,76212,买盘
528,14:14:01,5.22,--,142,74124,买盘
529,14:13:56,5.22,0.01,918,479196,买盘
530,14:13:46,5.21,-0.01,5,2605,卖盘
531,14:13:41,5.22,0.01,157,81954,买盘
532,14:13:36,5.21,--,58,30218,卖盘
533,14:13:31,5.21,-0.01,64,33344,卖盘
534,14:13:26,5.22,0.01,149,78185,买盘
535,14:13:21,5.21,0.01,20,10420,买盘
536,14:13:16,5.2,--,18,9360,卖盘
537,14:13:11,5.2,--,235,122200,卖盘
538,14:13:06,5.2,-0.02,14,7280,卖盘
539,14:13:01,5.22,0.02,16982,8864604,买盘
540,14:12:56,5.2,-0.01,55,28600,卖盘
541,14:12:41,5.21,0.01,136,70856,买盘
542,14:12:31,5.2,-0.01,31,16120,卖盘
543,14:12:26,5.21,0.01,141,73461,买盘
544,14:12:16,5.2,--,15,7800,卖盘
