,time,price,change,volume,amount,type
0,15:00:03,10.3,-0.01,14240,14667498,卖盘
1,14:57:00,10.31,0.01,4,4124,买盘
2,14:56:57,10.3,--,71,73130,卖盘
3,14:56:54,10.3,--,640,659200,卖盘
4,14:56:51,10.3,--,134,138020,卖盘
5,14:56:48,10.3,--,3134,3228020,卖盘
6,14:56:45,10.3,-0.01,1,1030,卖盘
7,14:56:42,10.31,0.01,3,3093,买盘
8,14:56:39,10.3,-0.01,5,5150,卖盘
9,14:56:36,10.31,--,24,24744,买盘
10,14:56:33,10.31,--,24,24744,买盘
11,14:56:30,10.31,0.01,123,126813,买盘
12,14:56:27,10.3,--,20,20600,卖盘
13,14:56:24,10.3,-0.01,1,1030,卖盘
14,14:56:21,10.31,--,66,68046,买盘
15,14:56:18,10.31,0.01,181,186611,买盘
16,14:56:15,10.3,--,88,90640,卖盘
17,14:56:12,10.3,-0.01,902,929060,卖盘
18,14:56:09,10.31,0.01,85,87635,买盘
19,14:56:06,10.3,-0.01,317,326510,卖盘
20,14:56:03,10.31,0.01,215,221665,买盘
21,14:56:00,10.3,-0.01,68,70040,卖盘
22,14:55:57,10.31,--,165,170115,买盘
23,14:55:54,10.31,0.01,201,207231,买盘
24,14:55:48,10.3,--,6,6180,卖盘
25,14:55:45,10.3,--,166,170980,卖盘
26,14:55:42,10.3,--,5,5150,卖盘
27,14:55:39,10.3,--,9,9270,卖盘
28,14:55:36,10.3,-0.01,91,93730,卖盘
29,14:55:33,10.31,0.01,187,192797,买盘
30,14:55:27,10.3,--,53,54590,卖盘
31,14:55:24,10.3,--,15,15450,卖盘
32,14:55:21,10.3,-0.01,60,61800,卖盘
33,14:55:18,10.31,0.01,60,61860,买盘
34,14:55:15,10.3,--,85,87550,卖盘
35,14:55:12,10.3,--,112,115360,卖盘
36,14:55:09,10.3,--,3522,3627845,买盘
37,14:55:06,10.3,0.01,124,127720,买盘
38,14:55:03,10.29,-0.01,36,37044,卖盘
39,14:55:00,10.3,0.01,62,63860,买盘
40,14:54:57,10.29,-0.01,310,318990,卖盘
41,14:54:54,10.3,0.01,2,2060,买盘
42,14:54:51,10.29,-0.01,7,7388,卖盘
43,14:54:48,10.3,0.01,22,22660,买盘
44,14:54:45,10.29,-0.01,6,6173,卖盘
45,14:54:42,10.3,0.01,1110,1143300,买盘
46,14:54:39,10.29,--,60,61739,卖盘
47,14:54:36,10.29,-0.01,92,94842,卖盘
48,14:54:33,10.3,--,44,45320,买盘
49,14:54:30,10.3,--,158,163564,买盘
50,14:54:27,10.3,0.01,120,123600,买盘
51,14:54:21,10.29,--,40,41160,卖盘
52,14:54:18,10.29,--,14,14405,卖盘
53,14:54:12,10.29,--,186,191579,卖盘
54,14:54:09,10.29,--,218,224321,卖盘
55,14:54:06,10.29,--,42,43218,卖盘
56,14:54:03,10.29,--,4,4116,卖盘
57,14:54:00,10.29,--,74,76146,卖盘
58,14:53:57,10.29,-0.01,100,102899,卖盘
59,14:53:51,10.3,--,67,69185,买盘
60,14:53:48,10.3,--,158,162740,买盘
61,14:53:45,10.3,--,50,51500,买盘
62,14:53:36,10.3,0.01,18,18540,买盘
63,14:53:33,10.29,--,42,43218,卖盘
64,14:53:30,10.29,--,26,26939,卖盘
65,14:53:27,10.29,--,30,30869,卖盘
66,14:53:24,10.29,-0.01,10,10290,卖盘
67,14:53:21,10.3,0.01,149,153470,买盘
68,14:53:18,10.29,-0.01,105,108044,卖盘
69,14:53:15,10.3,0.01,114,117420,买盘
70,14:53:12,10.29,--,1,1203,卖盘
71,14:53:09,10.29,--,45,46304,卖盘
72,14:53:06,10.29,--,109,112160,卖盘
73,14:53:03,10.29,--,60,61739,卖盘
74,14:53:00,10.29,-0.01,44,45275,卖盘
75,14:52:57,10.3,0.01,35,36050,买盘
76,14:52:54,10.29,--,80,82505,卖盘
77,14:52:51,10.29,-0.01,126,129653,卖盘
78,14:52:48,10.3,--,1448,1491440,买盘
79,14:52:45,10.3,0.01,33,33990,买盘
80,14:52:39,10.29,--,14,14591,卖盘
81,14:52:36,10.29,--,425,438271,卖盘
82,14:52:30,10.29,--,1221,1256409,卖盘
83,14:52:27,10.29,--,95,97754,卖盘
84,14:52:24,10.29,-0.01,1,1029,卖盘
85,14:52:21,10.3,--,17,17510,买盘
86,14:52:18,10.3,--,8,8240,买盘
87,14:52:15,10.3,0.01,10,10300,买盘
88,14:52:12,10.29,-0.01,131,134799,卖盘
89,14:52:09,10.3,--,15,15625,买盘
90,14:52:06,10.3,0.01,12,12360,买盘
91,14:52:00,10.29,-0.01,1045,1075305,卖盘
92,14:51:51,10.3,--,9,9270,买盘
93,14:51:48,10.3,--,177,182495,买盘
94,14:51:45,10.3,--,2,2060,买盘
95,14:51:42,10.3,0.01,7,7210,买盘
96,14:51:39,10.29,-0.01,1,1203,卖盘
97,14:51:36,10.3,0.01,11,11330,买盘
98,14:51:33,10.29,-0.01,60,61739,卖盘
99,14:51:30,10.3,0.01,1743,1795290,买盘
100,14:51:27,10.29,-0.01,610,627690,卖盘
101,14:51:21,10.3,--,20,20600,买盘
102,14:51:18,10.3,0.01,10,10300,买盘
103,14:51:15,10.29,-0.01,2004,2062301,卖盘
104,14:51:12,10.3,--,20,20600,买盘
105,14:51:06,10.3,0.01,11,11330,买盘
106,14:51:03,10.29,--,47,48537,卖盘
107,14:51:00,10.29,-0.01,1535,1579514,卖盘
108,14:50:54,10.3,-0.01,9,9270,中性盘
109,14:50:51,10.31,0.01,3005,3098155,买盘
110,14:50:48,10.3,--,11,11330,卖盘
111,14:50:45,10.3,--,100,103000,卖盘
112,14:50:42,10.3,--,257,264710,卖盘
113,14:50:39,10.3,--,1062,1093860,卖盘
