,time,price,change,volume,amount,type
0,15:00:00,8.8,--,0,0,买盘
1,15:00:00,8.8,0.01,0,0,买盘
2,15:00:00,8.79,--,12,10547,卖盘
3,14:59:35,8.79,-0.01,6,5273,卖盘
4,14:59:31,8.8,0.01,110,96800,买盘
5,14:58:54,8.79,-0.01,90,79109,卖盘
6,14:58:45,8.8,0.01,5,4400,买盘
7,14:58:35,8.79,--,20,17580,卖盘
8,14:57:45,8.79,--,5,4395,卖盘
9,14:57:20,8.79,0.01,40,35160,买盘
10,14:57:05,8.78,--,13,11414,卖盘
11,14:56:49,8.78,--,6,5268,卖盘
12,14:56:45,8.78,--,10,8780,卖盘
13,14:56:30,8.78,--,1,877,卖盘
14,14:56:24,8.78,--,1,877,卖盘
15,14:56:20,8.78,--,8,7023,买盘
16,14:56:09,8.78,0.01,6,5268,买盘
17,14:56:04,8.77,-0.01,15,13155,卖盘
18,14:56:00,8.78,-0.01,10,8780,卖盘
19,14:55:54,8.79,--,12,10547,买盘
20,14:55:49,8.79,0.01,5,4395,买盘
21,14:55:45,8.78,-0.01,15,13169,卖盘
22,14:55:35,8.79,0.02,12,10547,中性盘
23,14:55:15,8.77,-0.01,707,620039,卖盘
24,14:54:54,8.78,--,10,8780,卖盘
25,14:54:30,8.78,--,76,66728,卖盘
26,14:54:24,8.78,--,2,1755,卖盘
27,14:54:20,8.78,-0.01,100,87800,卖盘
28,14:54:14,8.79,--,5,4395,买盘
29,14:53:54,8.79,--,2,1757,卖盘
30,14:53:49,8.79,--,19,16701,卖盘
31,14:53:24,8.79,--,5,4395,卖盘
32,14:53:20,8.79,-0.02,25,21974,卖盘
33,14:53:14,8.81,--,0,0,买盘
34,14:52:59,8.81,0.01,50,44050,买盘
35,14:52:48,8.8,-0.01,42,36960,卖盘
36,14:52:30,8.81,0.01,2,1762,买盘
37,14:52:18,8.8,--,52,45760,卖盘
38,14:52:14,8.8,0.01,204,179520,买盘
39,14:52:09,8.79,--,6,5273,卖盘
40,14:52:03,8.79,-0.01,15,13184,卖盘
41,14:51:39,8.8,0.01,2,1760,买盘
42,14:51:24,8.79,-0.01,7,6152,卖盘
43,14:51:13,8.8,0.01,5,4400,买盘
